symbol,shortName,longName,currency,regularMarketPrice,regularMarketDayHigh,regularMarketDayLow,regularMarketDayRange,regularMarketChange,regularMarketChangePercent,regularMarketTime,marketCap,regularMarketVolume,regularMarketPreviousClose,regularMarketOpen,fiftyTwoWeekRange,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceEarnings,earningsPerShare
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.69,45.72,44.8,44.8 - 45.72,1.02,2.28,2026-03-16T15:35:50.000Z,604751749273,14281000,45.67,44.88,28.86 - 46.09,28.86,46.09,5.347236851344708,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.54,80.2,78.86,78.86 - 80.2,1.24,1.58,2026-03-16T15:35:50.000Z,334245394680,5661700,79.54,79.39,48.77 - 91.62,48.77,91.62,24.66356589147287,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,131.65,134.44,131.07,131.07 - 134.44,-1.45,-1.09,2026-03-16T16:03:50.000Z,33639150881.410248,354145,131.64,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.58,45.74,44.8,44.8 - 45.74,0.91,2.04,2026-03-16T16:03:50.000Z,604751749273,16219700,45.59,44.88,28.86 - 46.09,28.86,46.09,5.334363223556397,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.35,80.2,78.86,78.86 - 80.2,1.05,1.34,2026-03-16T16:03:50.000Z,334245394680,6150200,79.35,79.39,48.77 - 91.62,48.77,91.62,24.604651162790695,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,130.97,134.44,129.85,129.85 - 134.44,-2.13,-1.6,2026-03-16T16:34:50.000Z,33639150881.410248,411897,130.92,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.74,45.76,44.8,44.8 - 45.76,1.07,2.4,2026-03-16T16:34:50.000Z,604751749273,19080200,45.74,44.88,28.86 - 46.09,28.86,46.09,5.353088500339395,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.29,80.2,78.86,78.86 - 80.2,0.99,1.26,2026-03-16T16:34:50.000Z,334245394680,6837000,79.27,79.39,48.77 - 91.62,48.77,91.62,24.58604651162791,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,130.31,134.44,129.85,129.85 - 134.44,-2.79,-2.1,2026-03-16T17:02:50.000Z,33639150881.410248,477999,130.38,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.6,45.78,44.8,44.8 - 45.78,0.93,2.08,2026-03-16T17:02:50.000Z,604751749273,20602500,45.61,44.88,28.86 - 46.09,28.86,46.09,5.336703883154272,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.11,80.2,78.86,78.86 - 80.2,0.81,1.03,2026-03-16T17:02:50.000Z,334245394680,7486000,79.13,79.39,48.77 - 91.62,48.77,91.62,24.530232558139534,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,131.56,134.44,129.85,129.85 - 134.44,-1.54,-1.16,2026-03-16T17:33:51.000Z,33639150881.410248,509282,131.47,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.58,45.78,44.8,44.8 - 45.78,0.91,2.04,2026-03-16T17:33:51.000Z,604751749273,22524000,45.6,44.88,28.86 - 46.09,28.86,46.09,5.334363223556397,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.25,80.2,78.86,78.86 - 80.2,0.95,1.21,2026-03-16T17:33:51.000Z,334245394680,7922700,79.25,79.39,48.77 - 91.62,48.77,91.62,24.573643410852714,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,131.88,134.44,129.85,129.85 - 134.44,-1.22,-0.92,2026-03-16T18:01:51.000Z,33639150881.410248,543642,131.88,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.71,45.78,44.8,44.8 - 45.78,1.04,2.33,2026-03-16T18:01:51.000Z,604751749273,24452900,45.7,44.88,28.86 - 46.09,28.86,46.09,5.349577510942583,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.21,80.2,78.86,78.86 - 80.2,0.91,1.16,2026-03-16T18:01:51.000Z,334245394680,8407000,79.2,79.39,48.77 - 91.62,48.77,91.62,24.561240310077515,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,132.73,134.44,129.85,129.85 - 134.44,-0.37,-0.28,2026-03-16T18:31:51.000Z,33639150881.410248,578041,132.73,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.86,45.86,44.8,44.8 - 45.86,1.19,2.66,2026-03-16T18:31:51.000Z,604751749273,27565500,45.83,44.88,28.86 - 46.09,28.86,46.09,5.367132457926643,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.52,80.2,78.86,78.86 - 80.2,1.22,1.56,2026-03-16T18:31:51.000Z,334245394680,9146300,79.51,79.39,48.77 - 91.62,48.77,91.62,24.65736434108527,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,132.72,134.44,129.85,129.85 - 134.44,-0.38,-0.29,2026-03-16T19:02:51.000Z,33639150881.410248,615788,132.72,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.9,45.99,44.8,44.8 - 45.99,1.23,2.75,2026-03-16T19:02:51.000Z,604751749273,30158100,45.89,44.88,28.86 - 46.09,28.86,46.09,5.371813777122393,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.46,80.2,78.86,78.86 - 80.2,1.16,1.48,2026-03-16T19:02:51.000Z,334245394680,9734400,79.43,79.39,48.77 - 91.62,48.77,91.62,24.638759689922477,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,132.23,134.44,129.85,129.85 - 134.44,-0.87,-0.65,2026-03-16T19:32:51.000Z,33639150881.410248,660868,132.26,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.85,45.99,44.8,44.8 - 45.99,1.18,2.64,2026-03-16T19:32:51.000Z,604751749273,31893700,45.86,44.88,28.86 - 46.09,28.86,46.09,5.365962128127706,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.45,80.2,78.86,78.86 - 80.2,1.15,1.47,2026-03-16T19:32:51.000Z,334245394680,10662500,79.45,79.39,48.77 - 91.62,48.77,91.62,24.635658914728683,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,132.55,134.44,129.85,129.85 - 134.44,-0.55,-0.41,2026-03-16T19:55:51.000Z,33639150881.410248,688031,132.47,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.7,45.99,44.8,44.8 - 45.99,1.03,2.31,2026-03-16T19:55:51.000Z,604751749273,34994900,45.7,44.88,28.86 - 46.09,28.86,46.09,5.348407181143646,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.05,80.2,78.86,78.86 - 80.2,0.75,0.96,2026-03-16T19:55:51.000Z,334245394680,11387900,79.05,79.39,48.77 - 91.62,48.77,91.62,24.51162790697674,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,132.46,134.44,129.85,129.85 - 134.44,-0.64,-0.48,2026-03-16T20:22:51.000Z,33639150881.410248,710205,132.46,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.58,45.99,44.8,44.8 - 45.99,0.91,2.04,2026-03-16T20:22:51.000Z,604751749273,37675600,45.69,44.88,28.86 - 46.09,28.86,46.09,5.334363223556397,8.5445949
VALE3,VALE3,Vale S.A.,BRL,78.84,80.2,78.81,78.81 - 80.2,0.54,0.69,2026-03-16T20:22:51.000Z,334245394680,12074900,78.99,79.39,48.77 - 91.62,48.77,91.62,24.446511627906975,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,132,134.44,129.85,129.85 - 134.44,-1.1,-0.83,2026-03-16T20:56:54.000Z,33639150881.410248,731188,132.46,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.86,45.99,44.8,44.8 - 45.99,1.19,2.66,2026-03-16T20:56:54.000Z,604751749273,40357000,45.69,44.88,28.86 - 46.09,28.86,46.09,5.367132457926643,8.5445949
VALE3,VALE3,Vale S.A.,BRL,78.84,80.2,78.81,78.81 - 80.2,0.54,0.69,2026-03-16T20:56:54.000Z,334245394680,13580800,78.99,79.39,48.77 - 91.62,48.77,91.62,24.446511627906975,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,136.45,136.89,132.7,132.7 - 136.89,4.45,3.37,2026-03-17T13:45:51.000Z,33553975700.052433,49875,136.34,132.7,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,46.13,46.37,45.8,45.8 - 46.37,0.55,1.21,2026-03-17T13:45:51.000Z,615092317744,5403200,46.12,45.85,28.86 - 46.37,28.86,46.37,5.398731362497951,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.23,79.63,78.9,78.9 - 79.63,0.39,0.49,2026-03-17T13:45:51.000Z,336550506583,914200,79.23,79.1,48.77 - 91.62,48.77,91.62,24.567441860465117,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,138.08,138.19,132.7,132.7 - 138.19,6.08,4.61,2026-03-17T14:37:35.000Z,33553975700.052433,150805,138.07,132.7,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,47.13,47.17,45.8,45.8 - 47.17,1.55,3.4,2026-03-17T14:37:35.000Z,615092317744,17156200,47.13,45.85,28.86 - 47.17,28.86,47.17,5.515764342391686,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.43,79.63,78.71,78.71 - 79.63,0.59,0.75,2026-03-17T14:37:35.000Z,336550506583,3030900,79.43,79.1,48.77 - 91.62,48.77,91.62,24.629457364341086,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,138.41,138.51,132.7,132.7 - 138.51,6.41,4.86,2026-03-17T15:02:51.000Z,33553975700.052433,182216,138.36,132.7,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,47.08,47.24,45.8,45.8 - 47.24,1.5,3.29,2026-03-17T15:02:51.000Z,615092317744,20836200,47.09,45.85,28.86 - 47.24,28.86,47.24,5.509912693396998,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.6,79.71,78.71,78.71 - 79.71,0.76,0.96,2026-03-17T15:02:51.000Z,336550506583,5182400,79.6,79.1,48.77 - 91.62,48.77,91.62,24.682170542635657,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,137.09,138.97,132.7,132.7 - 138.97,5.09,3.86,2026-03-17T15:35:36.000Z,33553975700.052433,245372,137.05,132.7,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,47.01,47.26,45.8,45.8 - 47.26,1.43,3.14,2026-03-17T15:35:36.000Z,615092317744,25171400,47.01,45.85,28.86 - 47.26,28.86,47.26,5.501720384804437,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.06,79.71,78.71,78.71 - 79.71,0.22,0.28,2026-03-17T15:35:36.000Z,336550506583,6018700,79.01,79.1,48.77 - 91.62,48.77,91.62,24.514728682170542,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,135.76,138.97,132.7,132.7 - 138.97,3.76,2.85,2026-03-17T16:04:37.000Z,33553975700.052433,291444,135.79,132.7,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,47.03,47.26,45.8,45.8 - 47.26,1.45,3.18,2026-03-17T16:04:37.000Z,615092317744,27246900,47.03,45.85,28.86 - 47.26,28.86,47.26,5.504061044402312,8.5445949
VALE3,VALE3,Vale S.A.,BRL,78.82,79.71,78.71,78.71 - 79.71,-0.02,-0.03,2026-03-17T16:04:37.000Z,336550506583,6803600,78.85,79.1,48.77 - 91.62,48.77,91.62,24.440310077519378,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,135.01,138.97,132.7,132.7 - 138.97,3.01,2.28,2026-03-17T16:36:51.000Z,33553975700.052433,316383,135.06,132.7,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,47.12,47.26,45.8,45.8 - 47.26,1.54,3.38,2026-03-17T16:36:51.000Z,615092317744,28954800,47.12,45.85,28.86 - 47.26,28.86,47.26,5.514594012592748,8.5445949
VALE3,VALE3,Vale S.A.,BRL,78.87,79.71,78.64,78.64 - 79.71,0.03,0.04,2026-03-17T16:36:51.000Z,336550506583,7521200,78.87,79.1,48.77 - 91.62,48.77,91.62,24.455813953488374,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,135.75,138.97,132.7,132.7 - 138.97,3.75,2.84,2026-03-17T17:02:54.000Z,33553975700.052433,336957,135.76,132.7,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,47.1,47.26,45.8,45.8 - 47.26,1.52,3.33,2026-03-17T17:02:54.000Z,615092317744,30164500,47.1,45.85,28.86 - 47.26,28.86,47.26,5.512253352994874,8.5445949
VALE3,VALE3,Vale S.A.,BRL,78.82,79.71,78.64,78.64 - 79.71,-0.02,-0.03,2026-03-17T17:02:54.000Z,336550506583,8105000,78.82,79.1,48.77 - 91.62,48.77,91.62,24.440310077519378,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,136.38,138.97,132.7,132.7 - 138.97,4.38,3.32,2026-03-17T17:33:54.000Z,33553975700.052433,368186,136.39,132.7,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,46.9,47.26,45.8,45.8 - 47.26,1.32,2.9,2026-03-17T17:33:54.000Z,615092317744,31654600,46.9,45.85,28.86 - 47.26,28.86,47.26,5.488846757016127,8.5445949
VALE3,VALE3,Vale S.A.,BRL,78.94,79.71,78.64,78.64 - 79.71,0.1,0.13,2026-03-17T17:33:54.000Z,336550506583,8515900,78.94,79.1,48.77 - 91.62,48.77,91.62,24.47751937984496,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,136.17,138.97,132.7,132.7 - 138.97,4.17,3.16,2026-03-17T18:01:54.000Z,33553975700.052433,383091,136.16,132.7,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,46.97,47.26,45.8,45.8 - 47.26,1.39,3.05,2026-03-17T18:01:54.000Z,615092317744,33398000,46.97,45.85,28.86 - 47.26,28.86,47.26,5.497039065608688,8.5445949
VALE3,VALE3,Vale S.A.,BRL,78.93,79.71,78.64,78.64 - 79.71,0.09,0.11,2026-03-17T18:01:54.000Z,336550506583,9051400,78.93,79.1,48.77 - 91.62,48.77,91.62,24.474418604651163,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,136.77,138.97,132.7,132.7 - 138.97,4.77,3.61,2026-03-17T18:31:51.000Z,33553975700.052433,414665,136.71,132.7,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,47.01,47.26,45.8,45.8 - 47.26,1.43,3.14,2026-03-17T18:31:51.000Z,615092317744,35114400,47.01,45.85,28.86 - 47.26,28.86,47.26,5.501720384804437,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.13,79.71,78.64,78.64 - 79.71,0.29,0.37,2026-03-17T18:31:51.000Z,336550506583,9566900,79.11,79.1,48.77 - 91.62,48.77,91.62,24.53643410852713,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,136.97,138.97,132.7,132.7 - 138.97,4.97,3.77,2026-03-17T19:03:19.000Z,33553975700.052433,437603,136.9,132.7,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,46.68,47.26,45.8,45.8 - 47.26,1.1,2.41,2026-03-17T19:03:19.000Z,615092317744,38191500,46.68,45.85,28.86 - 47.26,28.86,47.26,5.463099501439505,8.5445949
VALE3,VALE3,Vale S.A.,BRL,78.89,79.71,78.64,78.64 - 79.71,0.05,0.06,2026-03-17T19:03:19.000Z,336550506583,10261600,78.9,79.1,48.77 - 91.62,48.77,91.62,24.462015503875968,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,136.12,138.97,132.7,132.7 - 138.97,4.12,3.12,2026-03-17T19:33:51.000Z,33553975700.052433,464177,136.12,132.7,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,46.49,47.26,45.8,45.8 - 47.26,0.91,2,2026-03-17T19:33:51.000Z,615092317744,42692600,46.49,45.85,28.86 - 47.26,28.86,47.26,5.4408632352596955,8.5445949
VALE3,VALE3,Vale S.A.,BRL,78.75,79.71,78.63,78.63 - 79.71,-0.09,-0.11,2026-03-17T19:33:51.000Z,336550506583,10860300,78.75,79.1,48.77 - 91.62,48.77,91.62,24.41860465116279,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,135.64,138.97,132.7,132.7 - 138.97,3.64,2.76,2026-03-17T19:57:19.000Z,33553975700.052433,479161,135.58,132.7,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,46.36,47.26,45.8,45.8 - 47.26,0.78,1.71,2026-03-17T19:57:19.000Z,615092317744,45342800,46.34,45.85,28.86 - 47.26,28.86,47.26,5.42564894787351,8.5445949
VALE3,VALE3,Vale S.A.,BRL,78.77,79.71,78.63,78.63 - 79.71,-0.07,-0.09,2026-03-17T19:57:19.000Z,336550506583,12020200,78.77,79.1,48.77 - 91.62,48.77,91.62,24.424806201550386,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,136.5,138.97,132.7,132.7 - 138.97,4.5,3.41,2026-03-17T20:23:20.000Z,33553975700.052433,521501,136.06,132.7,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,46.38,47.26,45.8,45.8 - 47.26,0.8,1.76,2026-03-17T20:23:20.000Z,615092317744,50857500,46.3,45.85,28.86 - 47.26,28.86,47.26,5.427989607471385,8.5445949
VALE3,VALE3,Vale S.A.,BRL,78.96,79.71,78.63,78.63 - 79.71,0.12,0.15,2026-03-17T20:23:20.000Z,336550506583,14214700,78.8,79.1,48.77 - 91.62,48.77,91.62,24.483720930232554,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,136.5,138.97,132.7,132.7 - 138.97,4.5,3.41,2026-03-17T20:56:20.000Z,33553975700.052433,521747,136.06,132.7,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,46.38,47.26,45.8,45.8 - 47.26,0.8,1.76,2026-03-17T20:56:20.000Z,615092317744,50967900,46.3,45.85,28.86 - 47.26,28.86,47.26,5.427989607471385,8.5445949
VALE3,VALE3,Vale S.A.,BRL,78.96,79.71,78.63,78.63 - 79.71,0.12,0.15,2026-03-17T20:56:20.000Z,336550506583,14218000,78.8,79.1,48.77 - 91.62,48.77,91.62,24.483720930232554,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,130.99,131.47,130.01,130.01 - 131.47,-5.51,-4.04,2026-03-18T13:46:24.000Z,34305243446.121815,83332,130.91,131,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,46.97,47.01,46.55,46.55 - 47.01,0.59,1.27,2026-03-18T13:46:24.000Z,623881155406,6781300,46.98,46.7,28.86 - 47.26,28.86,47.26,5.497039065608688,8.5445949
VALE3,VALE3,Vale S.A.,BRL,78.28,78.67,78.11,78.11 - 78.67,-0.68,-0.86,2026-03-18T13:46:24.000Z,337062771766,555200,78.28,78.65,48.77 - 91.62,48.77,91.62,24.272868217054263,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,127.02,131.47,127,127 - 131.47,-9.48,-6.95,2026-03-18T14:41:25.000Z,34305243446.121815,323015,126.94,131,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,46.86,47.15,46.55,46.55 - 47.15,0.48,1.03,2026-03-18T14:41:25.000Z,623881155406,13566000,46.88,46.7,28.86 - 47.26,28.86,47.26,5.484165437820377,8.5445949
VALE3,VALE3,Vale S.A.,BRL,77.51,78.67,77.5,77.5 - 78.67,-1.45,-1.84,2026-03-18T14:41:25.000Z,337062771766,2670000,77.55,78.65,48.77 - 91.62,48.77,91.62,24.034108527131785,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,125.96,131.47,125.15,125.15 - 131.47,-10.54,-7.72,2026-03-18T15:08:53.000Z,34305243446.121815,396780,126.02,131,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,46.99,47.15,46.55,46.55 - 47.15,0.61,1.32,2026-03-18T15:08:53.000Z,623881155406,16936200,47.01,46.7,28.86 - 47.26,28.86,47.26,5.499379725206563,8.5445949
VALE3,VALE3,Vale S.A.,BRL,77.64,78.67,77.5,77.5 - 78.67,-1.32,-1.67,2026-03-18T15:08:53.000Z,337062771766,3492900,77.64,78.65,48.77 - 91.62,48.77,91.62,24.07441860465116,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,126.6,131.47,125.15,125.15 - 131.47,-9.9,-7.25,2026-03-18T15:41:25.000Z,34305243446.121815,439655,126.6,131,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,46.97,47.15,46.55,46.55 - 47.15,0.59,1.27,2026-03-18T15:41:25.000Z,623881155406,20331500,46.96,46.7,28.86 - 47.26,28.86,47.26,5.497039065608688,8.5445949
